X,Y,OBJECTID,FACILITYID,NAME,OWNER,OWNTYPE,SUBTYPEFIELD,FEATURECODE,FULLADDR,CITY,STATE,ZIPCODE,PHONE,LOCATIONTYPE,CAPTUREMETH,DESCRIPT,OPERDAYS,OPERHOURS,PARKURL,DESCRIPT2,PARKAREA,SHELTERURL,NUMPARKING,ARTSTUDIO,BALLFIELDS,BEACH,BOATRAMP,CANOELAUNCH,COMMUNITYCENTER,COMPUTERLAB,CONCESSION,DOGPARK,FITNESSFACILITY,GOLF,GRILLS,GYM,OUTDOORFITNESS,PIER,SHUFFLECOURTS,PLAYGROUND,POOL,RESTROOMS,SHELTERS,TENNIS,IMPROVEDTRAILS,DOGBEACH,BASKETCOURTS,RACQUETCOURTS,NATURALTRAILS,DISCGOLF,SKATEPARK,SPLASHPAD,ATHLETICFIELD,SANDCOURTS,BANDSHELL,CEMETERY,MARINA,PARKALIAS,SHELTERMAP,GlobalID,created_user,created_date,last_edited_user,last_edited_date,USNG
-82.456200977219581,27.954345832463417,39335,73,Kid Mason Community Center,Tampa,Municipal,820,Community / Recreation Center,1101 N Jefferson Street,Tampa,FL,33602,813-274-8366,Building,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{D542A87B-0B42-4EB7-A8BB-019B627174D0},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 567 929
-82.469223791393091,27.967259862039608,39379,104,Phillips Park,Tampa,Municipal,820,Park,751 W Columbus Dr,Tampa,FL,33602,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{B5A590FE-555F-43A4-BEC0-0281569D71ED},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 554 944
-82.368180263345195,28.111569420700985,39362,92,New Tampa Nature Park,Tampa,Municipal,820,Park,17001 Dona Michelle Drive,Tampa,FL,33647,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,N/A,{62EE7313-4637-497D-BECF-031497FE6BFC},,,dp43,2015-10-16T13:50:11.000Z,17R LM 656 103
-82.514050587752166,27.91942129632714,39478,207,Friendship Center,Tampa,Municipal,820,Community / Recreation Center,4124 W Bay to Bay Blvd,Tampa,FL,33629,813-832-1200,,,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{C31F2D1A-BA99-4AFD-8611-03D8A53A9200},rck8,2014-08-19T15:34:42.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LL 510 891
-82.465069940846291,27.97838666858733,39364,16,Calvin Taylor Park,Tampa,Municipal,820,Park,611 W  Indiana Ave,Tampa,FL,33603,813-274-7433,Parcel,Placed on Map,"The Calvin Taylor Park is home to the Taylor Art Studio, which offers many art and craft classes for children and adults. Classes include glass fusion, jewelry making, pottery, and much more.",Everyday,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,N/A,{4D1CEFF0-F5DA-497B-96C0-0637065527B2},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 559 956
-82.425517879915333,28.006003357001358,39348,153,Woodland Terrace Park,Tampa,Municipal,820,Park,6410 N 32nd St,Tampa,FL,33610,813-231-5211,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Gwen Miller Center,N/A,{F7263D32-42E0-4F24-AA9D-06F11F65D879},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 598 986
-82.451934612119302,27.97508883753413,39363,14,Borrell Park,Tampa,Municipal,820,Park,808 E 26th Ave,Tampa,FL,33603,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,N/A,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{14670DC9-4CEA-4FF6-8E9E-0712700C29BC},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 572 952
-82.422137639273942,27.991834175570862,39492,221,Fair Oaks Center,Tampa,Municipal,820,Community / Recreation Center,5019 N 34th St,Tampa,FL,33610,813-231-5277,Parcel,Placed on Map,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{A0A0B664-9701-4428-8B1F-0C17B2A413D7},rck8,2014-08-21T14:10:21.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LL 601 971
-82.51649338693349,27.877439430871377,39360,13,Bobby Hicks Park,Tampa,Municipal,820,Park,4201 W Mango Ave,Tampa,FL,33616,813-832-1217,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{6F262F7A-93E5-4C13-8DBF-106841E76793},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 507 845
-82.470055253565789,28.014185396831824,39461,77,Lowry Park Zoo (Non-City Establishment),Tampa,Municipal,820,Zoo,7530 N Boulevard,Tampa,FL,33604,813-935-8552,Parcel,Placed on Map,"Recognized as the #1 family-friendly Zoo in the United States by Child magazine, Tampa’s Lowry Park Zoo features more than 1,700 animals on 56 acres of lush, natural habitats in seven main exhibit areas: Asian Domain, Primate World, Manatee and Aquatic C",,,http://www.tampagov.net/parks-and-recreation,"Achievement, future, community, conservation, development, good health, heritage, nature…It Starts in Parks!",,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{48B93B91-CDED-4C98-9FCD-139EF2BFABC2},,,rck8,2015-05-01T15:01:35.000Z,17R LL 554 996
-82.523537323359037,27.922003924850571,39432,139,Sunset Park,Tampa,Municipal,820,Park,4800 W Sunset Blvd,Tampa,FL,33629,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{42FCD25C-4FE1-4751-955C-156AEEB2A28E},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 500 894
-82.47883403019577,28.006613390134504,39504,,Police Athletic League,,,820,Community / Recreation Center,1924 W. Diana St,Tampa,FL,33604,,,,,Monday - Friday,,https://www.tampagov.net/parks-and-recreation/activities-recreation/recreation-centers,,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,{97746225-B634-44B4-BD6F-1862D5383184},,,,,
-82.383502304134325,28.129619589956064,39499,228,New Tampa Community Park Center,Tampa,Municipal,820,Community / Recreation Center,17302 Commerce Park Blvd,Tampa,FL,33647,813-975-2794,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,{5F88AAAB-A30E-4F9A-A05F-1867AB4E2EE7},DP7D,2015-05-14T16:42:10.000Z,DP7D,2015-05-14T16:46:28.000Z,
-82.473318979209196,28.052549702350262,39366,161,Babe Zaharias Golf Course,Tampa,Municipal,820,Golf Course,11412 N Forest Hills Dr,Tampa,FL,33612,813-631-4374,Building,Placed on Map,,Everyday,N/A,http://www.babezahariasgc.com,,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{FE49FB72-8872-40DC-AD08-1949C812583F},,,DP7D,2014-12-02T15:01:51.000Z,17R LM 552 038
-82.496902739667945,27.874476056588584,39403,40,ELAPP Forty Eight Park,Tampa,Municipal,820,Park,6415 S MacDill Ave,Tampa,FL,33611,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,N/A,{3DBE64C9-33AD-4E93-AA18-1AD40FDCC470},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 526 841
-82.446663074492264,27.909996733118462,39394,34,Davis Islands Seaplane Basin,Tampa,Municipal,820,Marina / Seaplane Basin,864 Severn Ave,Tampa,FL,33606,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,N/A,{72E7C0D5-0A9B-454F-9F8B-1B31D034DC67},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 576 880
-82.462357508313985,27.96415403631422,39468,202,Robert Gardner Park,Tampa,Municipal,820,Park,2301 N Highland Ave,Tampa,FL,33602,,Parcel,Placed on Map,"Located in the heart of the Tampa Heights neighborhood, this park is named after Robert Gardner who was a life-long resident of Tampa Heights.  Mr. Gardner was a member of the Tampa Heights Civic Association and was dedicated to making this community a",,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,better place.,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{5FBAD4FC-6812-405C-8AB3-1BDEBE2FF6C7},,,rck8,2015-05-01T20:01:38.000Z,17R LL 561 940
-82.540288481808616,27.892115821600303,39334,2,AJ Palonis Jr Park,Tampa,Municipal,820,Park,5151 W Gandy Blvd,Tampa,FL,33611,,Parcel,Placed on Map,"AJ Palonis Park contains a nature trail and boardwalk that meanders through mangrove tunnels into Tampa Bay. It is located adjacent to the Friendship Trail Bridge, a 2.6-mile lighted concrete bridge trail spanning Tampa Bay.",Everyday,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{D72A4D76-211A-4FF9-B643-1C33DC0FECE9},,,rck8,2017-03-30T12:09:58.000Z,17R LL 487 863
-82.408338294077623,27.989571493236468,39480,209,Williams Center,Tampa,Municipal,820,Community / Recreation Center,4362 E Osborne Ave,Tampa,FL,33610,813-635-3482,,,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,{919716B1-3172-46A6-9AFE-1E404DBC2D6D},rck8,2014-08-19T14:38:35.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LL 615 968
-82.407103986096459,27.969488424763473,39443,58,Highland Pines Park,Tampa,Municipal,820,Park,4505 E 21st Ave,Tampa,FL,33605,813-630-3925,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,,N/A,{D22A05F1-D796-4F6B-A380-1F29F4E37FEB},,,rck8,2016-07-21T13:10:01.000Z,17R LL 616 946
-82.532208101505645,27.8683518829706,39398,176,Tappan Tract Park,Tampa,Municipal,820,Park,6601 S Sherrill St,Tampa,FL,33616,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,,No,No,No,,N/A,{D912E83C-3ED5-431C-906C-1F4BD7C4237D},,,DP7D,2016-08-17T11:31:25.000Z,17R LL 492 838
-82.444117936594992,28.016242543411131,39455,203,Alan Wright Park,Tampa,Municipal,820,Park,1402 E Park Cir,Tampa,FL,33604,,Parcel,Placed on Map,"Formerly known as Spring Park, this park was renamed in honor of Alan Wright in 2010. Alan Wright was known as ""Mr. River"" because of his advocacy for the Hillsborough River. Wright was a planner with the Hillsborough County Planning Commission ",,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,and county liaison to the Hillsborough River Interlocal Planning Board and Technical Advisory Council for 21 years. He worked to improve the ecological conditions and biological viability of this important fresh water resource. He died in 2007.,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{AB16339C-004A-4BC7-9126-221FC3BFD793},,,rck8,2015-05-01T13:53:40.000Z,17R LL 580 998
-82.438622519288373,27.961340555517218,39470,154,Centennial Park,Tampa,Municipal,820,Park,1800 E 8th Ave,Tampa,FL,33605,813-242-5370,Parcel,Placed on Map,"Located in historic Ybor City, Centennial Park offers shade, benches and statues representing those who contributed to Ybor's history. Its central location provides a place for many events, including Flan Fest, Festa Italiana, the Ybor Arts and Crafts Fe",,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,{21A02B5D-D78A-4EFE-8383-2401E10DDB01},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 584 937
-82.428763739370666,27.946774372430379,39406,180,Spicola Family Pool,Tampa,Municipal,820,Public Pool,2615 Corrine St,Tampa,FL,33605,813-242-5355,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,N/A,{ABF13ED8-C081-49BB-AE99-246018AF0DF8},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 594 921
-82.436310783924853,27.980269508855898,39486,215,Cyrus Greene Center,Tampa,Municipal,820,Community / Recreation Center,2101 E Dr Martin Luther King Blvd,Tampa,FL,33610,813-242-5350,Parcel,Placed on Map,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{EB04C67C-7989-4DA5-B218-26D39C0F004C},rck8,2014-08-20T14:08:26.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LL 587 958
-82.459416916154538,27.941065604209893,39459,21,Columbus Statue Park,Tampa,Municipal,820,Park,,Tampa,FL,33606,,Parcel,Placed on Map,Columbus Statue Park is approximately one-half acre and marks the beginning of scenic Bayshore Boulevard Linear Park on its north end.,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{9740ACA8-6B7D-4CEE-9585-2CF9B24D5E98},,,rck8,2015-05-01T14:40:43.000Z,17R LL 562 912
-82.425176982665917,27.969329503498209,39400,39,"Alfred ""Al"" Barnes Jr Park",Tampa,Municipal,820,Park,2902 N 32nd St,Tampa,FL,33605,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,18th Avenue Park Eighteenth,N/A,{21FF9839-D5F4-412B-9D02-30F585579027},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 598 946
-82.462971117966092,27.959146581802194,39338,148,Water Works Park,Tampa,Municipal,820,Park,1710 N Highland Ave,Tampa,FL,33602,,Parcel,Placed on Map,"Formerly Morgan Street Park, the City of Tampa renamed the park to Fernando Rodriguez Mesa Park in 2005.",Everyday,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,,,,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Morgan Street Park,N/A,{EF67DBAE-8F49-4A96-9978-3387D7308B5A},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 560 935
-82.499094448683934,27.865248816404002,39417,48,Gadsden Park,Tampa,Municipal,820,Park,6901 S MacDill Ave,Tampa,FL,33611,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,No,No,No,No,No,No,No,No,No,No,,,N/A,{F17A082E-7F25-4AE2-AD10-3422D3953308},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 524 831
-82.523329337984052,27.869035130411369,39385,110,Port Tampa Community Center,Tampa,Municipal,820,Community / Recreation Center,4702 W Mc Coy St,Tampa,FL,33616,813-832-1215,Building,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{9539888E-3866-48AE-B8E4-3854F74650B9},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 500 836
-82.433725734827988,28.017137169918445,39428,191,22nd Street Park,Tampa,Municipal,820,Park,7801 N 22nd St,Tampa,FL,33610,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,"The Ruth J. Fleming Trail is one-third of a mile long and features eight fitness station with equipment such as a warm-up station, rowing machine, leg stretch, cardio walker, step-up fitness station, balance beam and push-up bars.  ",,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,N/A,{31737499-A02C-4650-B114-385626A4096B},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 590 999
-82.453851490552836,27.930800705157456,39351,84,Marjorie Park Yacht Basin,Tampa,Municipal,820,Marina / Seaplane Basin,115 Columbia Dr,Tampa,FL,33606,813-259-1604,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,N/A,{B53F5C58-6EB2-46FE-8F7D-3A2BC42B220C},,,DPB4,2016-08-18T17:33:00.000Z,17R LL 569 904
-82.461695476087129,27.948883367487813,39472,159,Curtis Hixon Waterfront Park,Tampa,Municipal,820,Park,600 N Ashley Dr,Tampa,FL,33602,,Parcel,Placed on Map,"The new eight acre Curtis Hixon Waterfront Park features a unique urban design, sustainable construction, and operational features including reclaimed water for irrigation and LED lighting. Park amenities include the Great Lawn with flexible perimeter se",,Sunrise to 10 p.m.,http://www.tampagov.net/parks-and-recreation,A segment of the Riverwalk runs through the park connecting the David Straz Performing Arts Center to the Glazer Children's Museum and the Tampa Museum of Art. The park design was created by Thomas Balsley and Associates of New York.,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,{BC5CFC2C-36F7-4B82-A72E-3A75EDD5CB99},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 562 923
-82.474804277834409,27.962172820542854,39462,86,Dr Martin Luther King Jr Recreation Complex,Tampa,Municipal,820,Community / Recreation Center,2200 N Oregon Ave,Tampa,FL,33607,813-259-1667,Unknown,Placed on Map,,,,http://www.tampagov.net/parks-and-recreation,,,,,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{72612845-AF15-4B76-8879-3C8EB0EB256D},,,rck8,2015-05-01T15:14:52.000Z,17R LL 548 938
-82.395547683764605,27.97935730588063,39495,224,Grant Park Center,Tampa,Municipal,820,Community / Recreation Center,3724 N 54th St,Tampa,FL,33619,813-622-1910,Parcel,Placed on Map,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,{FAF72D5E-BF15-4702-ADBA-3E2346F44008},rck8,2014-09-04T15:53:52.000Z,DP7D,2015-05-14T16:46:14.000Z,17R LL 627 956
-82.45617257521009,28.000175679217183,39415,132,Seminole Heights Garden Center,Tampa,Municipal,820,Arboretum / Botanical Garden,5800 N Central Ave,Tampa,FL,33604,813-231-8900,Building,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,https://apps.tampagov.net/appl_customer_service_center/form.asp?strServiceID=495,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,N/A,{6061EE72-3637-433F-9BA5-3F192BBCC3BE},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 568 980
-82.443594293985811,27.969175568170719,39380,27,Cuscaden Park,Tampa,Municipal,820,Park,2900 N 15th St,Tampa,FL,33605,813-242-5302,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,N/A,{48C02F98-948E-440F-AE46-400F2FB05BE2},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 580 946
-82.454843742868391,27.973971114407991,39393,174,Robles Park,Tampa,Municipal,820,Park,3305 N Avon Ave,Tampa,FL,33603,,Parcel,Placed on Map,,Everyday,N/A,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,N/A,{A84B3474-316D-4A5D-BF2F-40E0005F36CA},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 569 951
-82.418696989311755,28.023560922357781,39479,208,Temple Crest Center,Tampa,Municipal,820,Community / Recreation Center,8116 N 37th Street,Tampa,FL,33604,813-989-7606,,,,,,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,,,{1A76F08B-B73B-4A80-B568-413615A32A5F},rck8,2014-08-19T14:32:49.000Z,DPD3,2015-01-12T16:33:44.000Z,17R LM 605 006
-82.510344863145633,27.962311041668162,39337,74,Lincoln Gardens Park,Tampa,Municipal,820,Park,4020 W Palmetto St,Tampa,FL,33607,813-348-1175,Parcel,Placed on Map,,Everyday,Sunrise to Sunset,http://www.tampagov.net/parks-and-recreation,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,N/A,{1A9BCBFC-6A95-45A9-8E61-41439AB34D4F},,,DPD3,2015-01-12T16:33:44.000Z,17R LL 514 939
